name,uid,qualification,email,department,domain,phone_number,project_guide,no_of_research_paper,no_of_students_guided
"Jaswinder Singh",JS006,M.Tech,jaswinder.singh@university.edu,"Computer Science","Data Science","+91 9876543201","Predictive Analytics for Healthcare",3,6
"Baljeet Kaur",BK007,Ph.D,baljeet.kaur@university.edu,Civil,"Transportation Engineering","+91 8765432100","Traffic Flow Optimization",5,9
"Sukhwinder Singh",SS008,M.Tech,sukhwinder.singh@university.edu,"Electrical Engineering","Control Systems Engineering","+91 7654321090","PID Controller Design",4,7
"Gurmeet Kaur",GK009,B.Tech,gurmeet.kaur@university.edu,"Mechanical Engineering","Manufacturing Engineering","+91 6543210980","CNC Machining Optimization",2,4
"Harmanpreet Singh",HS010,M.Tech,harmanpreet.singh@university.edu,ECE,"Signal Processing","+91 5432109870","Speech Recognition Systems",6,11
"Rajwinder Kaur",RK011,M.Tech,rajwinder.kaur@university.edu,"Computer Science",Cybersecurity,"+91 9876543211","Intrusion Detection Systems",3,5
"Jatinder Singh",JS012,Ph.D,jatinder.singh@university.edu,Civil,"Environmental Engineering","+91 8765432101","Wastewater Treatment Technologies",5,8
"Ravneet Kaur",RK013,M.Tech,ravneet.kaur@university.edu,"Electrical Engineering","Renewable Energy Systems","+91 7654321091","Solar Power Forecasting",4,6
"Sandeep Singh",SS014,B.Tech,sandeep.singh@university.edu,"Mechanical Engineering","Thermodynamics and Heat Transfer","+91 6543210981","Energy Efficiency in HVAC Systems",2,3
"Amandeep Kaur",AK015,M.Tech,amandeep.kaur@university.edu,ECE,"Wireless Communication","+91 5432109871","5G Network Optimization",6,10
"Gurpreet Singh",GS016,M.Tech,gurpreet.singh@university.edu,"Computer Science","Machine Learning","+91 9876543212","Natural Language Processing",3,7
"Baljit Kaur",BK017,Ph.D,baljit.kaur@university.edu,Civil,"Structural Engineering","+91 8765432102","Bridge Health Monitoring Systems",5,9
"Amarpreet Singh",AS018,M.Tech,amarpreet.singh@university.edu,"Electrical Engineering","Power Systems Engineering","+91 7654321092","Fault Detection in Power Systems",4,6
"Manpreet Kaur",MK019,B.Tech,manpreet.kaur@university.edu,"Mechanical Engineering","Manufacturing Engineering","+91 6543210982","Additive Manufacturing Processes",2,4
"Jagdeep Singh",JS020,M.Tech,jagdeep.singh@university.edu,ECE,"Embedded Systems","+91 5432109872","Internet of Things (IoT) Applications",6,11
"Rajinder Kaur",RK021,M.Tech,rajinder.kaur@university.edu,"Computer Science","Data Science","+91 9876543213","Predictive Maintenance in Manufacturing",3,5
